일자,종목명,종가,대비,시가,고가,저가,거래량,거래대금,가중평균
"2020-11-04",KAU20,"22,500",0,"0","22,500","22,500","1,500","33,750,000","22,500"
"2020-11-03",KAU20,"22,500",650,"3","22,500","21,850","9,500","210,275,000","22,134"
"2020-11-02",KAU20,"21,850",-2200,"-9","21,850","21,850","1,500","32,775,000","21,850"
"2020-10-30",KAU20,"24,050",50,"0","24,500","24,050","49,728","1,203,742,600","24,207"
"2020-10-29",KAU20,"24,000",-300,"-1","24,000","24,000","48,000","1,152,000,000","24,000"
"2020-10-28",KAU20,"24,300",-500,"-2","25,000","24,300","30,500","750,500,000","24,607"
"2020-10-27",KAU20,"24,800",-100,"-0","25,100","24,800","64,004","1,592,125,400","24,875"
"2020-10-26",KAU20,"24,900",100,"0","24,900","24,800","117,200","2,888,080,000","24,642"
"2020-10-23",KAU20,"24,800",300,"1","25,000","24,800","35,000","873,400,000","24,954"
"2020-10-22",KAU20,"24,500",-500,"-2","25,000","24,500","18,000","448,300,000","24,906"
"2020-10-21",KAU20,"25,000",0,"0","25,100","25,000","14,500","362,800,000","25,021"
"2020-10-20",KAU20,"25,000",500,"2","25,000","24,500","19,000","470,600,000","24,768"
"2020-10-19",KAU20,"24,500",400,"2","24,500","24,100","93,500","2,262,625,000","24,199"
"2020-10-16",KAU20,"24,100",550,"2","24,300","24,000","55,000","1,322,400,000","24,044"
"2020-10-15",KAU20,"23,550",-150,"-1","23,800","23,000","35,500","825,375,000","23,250"
"2020-10-14",KAU20,"23,700",300,"1","23,700","23,650","17,000","402,200,000","23,659"
"2020-10-13",KAU20,"23,400",250,"1","23,400","23,200","7,000","162,900,000","23,271"
"2020-10-12",KAU20,"23,150",150,"1","23,150","23,000","7,000","161,500,000","23,071"
"2020-10-08",KAU20,"23,000",200,"1","23,000","22,900","5,000","114,550,000","22,910"
"2020-10-07",KAU20,"22,800",250,"1","22,800","22,600","10,500","238,400,000","22,705"
"2020-10-06",KAU20,"22,550",350,"2","22,550","22,300","7,000","156,750,000","22,393"
"2020-10-05",KAU20,"22,200",-100,"-0","22,300","22,200","4,500","100,200,000","22,267"
"2020-09-29",KAU20,"22,300",-450,"-2","22,750","22,300","33,023","748,555,750","22,668"
"2020-09-28",KAU20,"22,750",150,"1","22,750","22,650","33,000","748,550,000","22,683"
"2020-09-25",KAU20,"22,600",50,"0","22,700","22,600","22,500","509,000,000","22,622"
"2020-09-24",KAU20,"22,550",50,"0","23,000","22,500","45,000","1,020,506,000","22,678"
"2020-09-23",KAU20,"22,500",650,"3","22,500","22,000","33,000","732,900,000","22,209"
"2020-09-22",KAU20,"21,850",250,"1","21,850","21,600","19,979","433,791,150","21,712"
"2020-09-21",KAU20,"21,600",-100,"-0","21,700","21,600","11,000","238,400,000","21,673"
"2020-09-18",KAU20,"21,700",200,"1","21,700","21,500","15,500","334,575,000","21,585"
"2020-09-17",KAU20,"21,500",100,"0","21,500","21,400","32,764","702,605,600","21,444"
"2020-09-16",KAU20,"21,400",100,"0","21,400","21,300","20,500","437,775,000","21,355"
"2020-09-15",KAU20,"21,300",0,"0","21,350","21,300","46,736","995,726,800","21,305"
"2020-09-14",KAU20,"21,300",-50,"-0","21,350","21,300","29,000","619,050,000","21,347"
"2020-09-11",KAU20,"21,350",0,"0","21,350","21,350","20,650","440,877,500","21,350"
"2020-09-10",KAU20,"21,350",0,"0","21,400","21,200","6,600","140,710,000","21,320"
"2020-09-09",KAU20,"21,350",50,"0","21,350","21,250","8,100","172,415,000","21,286"
"2020-09-08",KAU20,"21,300",100,"0","21,300","21,200","335,000","7,029,000,000","20,982"
"2020-09-07",KAU20,"21,200",0,"0","21,300","21,200","5,500","116,750,000","21,227"
"2020-09-04",KAU20,"21,200",400,"2","21,300","21,000","35,791","752,148,300","21,015"
"2020-09-03",KAU20,"20,800",0,"0","20,800","20,500","23,500","488,350,000","20,781"
"2020-09-02",KAU20,"20,800",1200,"6","20,800","20,500","10,500","217,350,000","20,700"
"2020-09-01",KAU20,"19,600",-1800,"-8","21,000","19,600","402,500","8,410,480,000","20,896"
"2020-08-31",KAU20,"21,400",-150,"-1","21,700","20,000","19,730","413,712,000","20,969"
"2020-08-28",KAU20,"21,550",100,"0","21,900","21,550","13,680","296,581,400","21,680"
"2020-08-27",KAU20,"21,450",450,"2","21,500","21,450","20,800","447,100,000","21,495"
"2020-08-26",KAU20,"21,000",200,"1","21,000","20,800","20,120","420,978,000","20,923"
"2020-08-25",KAU20,"20,800",-200,"-1","21,000","20,500","26,000","540,700,000","20,796"
"2020-08-24",KAU20,"21,000",0,"0","21,000","21,000","83,500","1,753,500,000","21,000"
"2020-08-21",KAU20,"21,000",1450,"7","21,500","21,000","1,001","21,021,500","21,000"
"2020-08-20",KAU20,"19,550",1750,"10","19,550","18,100","10,150","189,640,000","18,684"
"2020-08-19",KAU20,"17,800",0,"0","0","0","0","0","0"
"2020-08-18",KAU20,"20,000",0,"0","0","0","0","0","0"
"2020-08-14",KAU20,"20,000",-1000,"-5","20,000","20,000","1,000","20,000,000","20,000"
"2020-08-13",KAU20,"21,000",0,"0","21,000","21,000","54,700","1,148,700,000","21,000"
"2020-08-12",KAU20,"21,000",-100,"-0","21,050","21,000","46,776","983,284,800","21,021"
"2020-08-11",KAU20,"21,100",0,"0","21,100","21,100","5,500","116,050,000","21,100"
"2020-08-10",KAU20,"21,100",50,"0","21,100","21,100","6,709","141,559,900","21,100"
"2020-08-07",KAU20,"21,050",50,"0","21,050","21,000","23,000","483,500,000","21,022"
"2020-08-06",KAU20,"21,000",50,"0","21,000","20,950","32,500","681,250,000","20,962"
"2020-08-05",KAU20,"20,950",50,"0","21,000","20,950","25,000","524,000,000","20,960"
"2020-08-04",KAU20,"20,900",-2100,"-9","20,900","20,900","52","1,086,800","20,900"
"2020-08-03",KAU20,"23,000",1750,"8","23,000","23,000","5,000","115,000,000","23,000"
"2020-07-31",KAU20,"21,250",-2350,"-10","21,250","21,250","100","2,125,000","21,250"
"2020-07-30",KAU20,"23,600",100,"0","23,600","23,500","14,000","304,300,000","21,736"
"2020-07-29",KAU20,"23,500",200,"1","23,500","23,300","7,500","175,850,000","23,447"
"2020-07-28",KAU20,"23,300",300,"1","23,300","23,000","3,000","69,600,000","23,200"
"2020-07-27",KAU20,"23,000",350,"2","23,000","22,800","6,400","146,820,000","22,941"
