Limestone,Clay,Silica Stone,Iron Oxide,Gypsum,Coal,Carbon Dioxide,Date
1.039785696,0.264611512,0.056587599,0.041258832,0.049839958,0.117024782,0.949385606,1993-04-05
1.297638903,0.366345826,0.063441933,0.029097359,0.063526011,0.151884178,1.193998236,1993-04-06
0.925238679,0.235783838,0.056413981,0.036804459,0.02545295,0.112409973,0.845275228,1993-04-07
0.586583156,0.238091391,0.043783659,0.036977606,0.038106013,0.081849422,0.568950554,1993-04-08
1.410817802,0.226859564,0.026899436,0.023038784,0.050342588,0.149454175,1.236631026,1993-04-09
1.019324834,0.262590927,0.035165453,0.029008137,0.043357005,0.157667256,0.936523656,1993-04-10
0.912436456,0.209283319,0.053896528,0.044831359,0.045408704,0.160703183,0.839288456,1993-04-11
1.204061088,0.175026449,0.0459077,0.038199558,0.037666903,0.141405607,1.056215343,1993-04-12
0.622639233,0.120709826,0.062196221,0.051557191,0.053559776,0.141556162,0.579366886,1993-04-13
1.093992093,0.136565621,0.027711695,0.044931943,0.036208065,0.171675011,0.961383533,1993-04-14
1.466226127,0.254879833,0.037184581,0.052636978,0.041961009,0.165935506,1.29581021,1993-04-15
1.078283507,0.225807737,0.033115598,0.042737596,0.044918324,0.164126206,0.97527152,1993-04-16
0.645434229,0.257456991,0.048710428,0.051897914,0.038158047,0.125003256,0.63246177,1993-04-17
0.830674197,0.228815481,0.054561732,0.044338576,0.037472178,0.046829293,0.756187109,1993-04-18
0.356133531,0.173350698,0.051649702,0.052050055,0.054358178,0.118749911,0.37646781,1993-04-19
1.251013477,0.250351704,0.050172895,0.048060341,0.048497099,0.196565482,1.129902423,1993-04-20
0.973693469,0.123523349,0.061241124,0.037958824,0.04252635,0.135640611,0.857312532,1993-04-21
1.617344682,0.253091117,0.068685519,0.051724481,0.046470251,0.13310757,1.41311262,1993-04-22
0.937451436,0.314279447,0.047013819,0.047866669,0.042157113,0.064642331,0.870877209,1993-04-23
0.962179337,0.126104889,0.046189874,0.034921073,0.045073781,0.155355478,0.851264505,1993-04-24
0.824727433,0.238364855,0.052267883,0.033067017,0.033717852,0.003321093,0.743860897,1993-04-25
0.659933358,0.188132453,0.036977156,0.036838074,0.045143202,0.17265354,0.630812974,1993-04-26
1.837937334,0.206027705,0.05213847,0.048752948,0.043291409,0.131229321,1.572822326,1993-04-27
0.94626542,0.196218921,0.033625929,0.035873389,0.041913649,0.066304868,0.840280282,1993-04-28
0.835560825,0.197560883,0.040315558,0.053051814,0.048238821,0.095942969,0.761066138,1993-04-29
0.602996226,0.275969832,0.047922697,0.048315078,0.037655127,0.130976888,0.604772598,1993-04-30
1.517569118,0.33317658,0.037105918,0.035513586,0.034753955,0.265187258,1.377783066,1993-05-01
0.928399207,0.220742589,0.048446323,0.042859648,0.035054595,0.157476308,0.853073461,1993-05-02
0.819460095,0.261380579,0.074746848,0.032362598,0.046871588,0.103093376,0.769999028,1993-05-03
0.716315028,0.244900852,0.041163792,0.071202026,0.043551871,0.142344171,0.690582881,1993-05-04
0.725218227,0.180043689,0.034734563,0.04275077,0.028682571,0.131161584,0.671036795,1993-05-05
0.786774717,0.285508362,0.03080968,0.049365234,0.047769872,0.082071727,0.744281106,1993-05-06
0.944578004,0.220661645,0.071490843,0.036620023,0.040476713,0.114834416,0.859686538,1993-05-07
1.250323067,0.255124015,0.04292131,0.040638786,0.052788974,0.062080169,1.102846598,1993-05-08
0.54511625,0.165517763,0.050780065,0.044582628,0.033025558,0.144653507,0.527517855,1993-05-09
1.137424097,0.230106186,0.045062722,0.04118954,0.050643048,0.163001406,1.025260945,1993-05-10
1.017394876,0.243032409,0.037218898,0.050927669,0.028047602,0.168447878,0.932134616,1993-05-11
0.908278677,0.269039966,0.049137047,0.054514007,0.018940829,0.093031695,0.838200458,1993-05-12
0.471387013,0.190103293,0.029432302,0.035407467,0.045502217,0.158893449,0.476953487,1993-05-13
0.954742642,0.071240559,0.038454773,0.04499216,0.042517951,0.152770905,0.82831695,1993-05-14
1.004154481,0.153897263,0.046010182,0.046384712,0.04391023,0.152541529,0.893631582,1993-05-15
0.695269492,0.128460049,0.03125063,0.041890737,0.032343889,0.115322131,0.62836656,1993-05-16
1.181874875,0.145491699,0.074767009,0.048196461,0.041068085,0.151799131,1.035910391,1993-05-17
