Acid(ml),CaCO3(g),CO2
109.4095438,117.2225086,112.8305821
109.9686376,104.5324954,112.0194972
106.2032423,96.09183104,94.46457322
109.4398751,100.046533,113.0563054
91.68488985,94.94258535,90.04973704
101.8778911,110.3656111,88.6188543
107.4149471,107.1562767,107.3411999
121.1419692,82.00297017,80.74077678
105.9206137,119.9073401,121.8612141
94.41502302,85.64095913,82.32394587
103.9294927,81.44713547,80.88264312
94.68826166,134.1502419,131.1150888
114.3788024,90.21148951,97.7782566
103.7924264,109.8750183,111.6254277
118.6352967,95.94492904,109.4937245
88.20867132,97.84194759,74.93965043
118.7623514,78.23336816,80.68635048
115.1646046,90.30210916,101.617239
86.18763528,133.5145243,110.7165531
106.4195929,92.29519741,86.08227864
91.31455035,117.6110923,113.4918058
106.4875862,105.773702,104.3928023
124.6104211,77.39927557,92.51994608
95.81447584,105.960755,87.08244608
107.4207348,96.52435603,99.36419254
117.0612121,101.6279733,91.99214812
96.35187838,89.48471091,92.42023528
108.4555282,101.5792974,107.1285654
101.2804081,91.31743874,112.889203
113.272168,109.8218801,103.5901734
104.8557183,93.24858962,107.6113832
105.791245,122.9145023,116.6238468
101.9605515,119.7138752,100.829559
100.5011502,117.8225999,113.7325895
89.54264652,97.68934179,103.0515442
111.0889887,84.20788355,92.44971256
94.79285548,87.34880744,87.30087947
107.2581601,100.7148238,111.155705
100.3202303,99.32501241,94.16116793
93.49881808,118.3537045,111.3535099
76.76268383,100.0438011,103.2693621
99.78043895,78.65038294,74.62286117
113.9730834,111.9044521,105.9942958
86.86422785,93.19925747,108.2259516
105.9980553,98.94211888,95.45356099
97.22256848,93.90812716,96.40790133
98.22535179,70.77481421,82.05587788
91.96609367,109.3527542,104.958908
84.17555167,105.589973,101.0925168
99.71306772,116.3362911,104.8747164
104.1244291,86.72377152,67.83752993
108.071133,107.7447832,98.36168971
98.94076834,95.10189232,90.16092149
112.6420623,110.9400402,104.5528977
108.6013347,84.90459692,89.16405477
90.6823507,99.64529652,103.397221
107.7171612,102.0017119,95.54717872
121.9528856,127.7943546,125.3660651
101.5640236,107.4971727,105.8787648
84.20607135,106.0182077,105.1973751
108.9119588,108.7360688,111.0546221
81.55192541,92.27524647,83.72758507
105.4483774,107.0048475,105.2465697
94.07515487,110.919885,112.1775121
84.68329574,115.7627675,109.6482371
91.23062984,103.2352895,101.3286445
93.35242853,93.35523071,87.01529663
98.13683419,126.4131924,103.9394179
102.4011229,116.0668792,124.6447653
104.5102131,78.40455708,77.61072438
106.1903665,97.89849766,94.88287575
103.8697434,88.25222154,91.31548687
123.6650343,100.0323242,102.2584845
110.8775607,84.33878685,74.97851615
95.24757376,98.29166933,88.98647327
110.5723956,95.2450786,104.9417777
109.2910048,106.0541573,103.7836431
100.0867665,82.27689424,90.42275352
87.14671864,101.8659162,90.45567145
97.73832675,101.6258892,98.83258899
112.6733915,99.15703389,102.2219607
102.8060759,75.95813133,84.02839005
85.9542354,91.10062489,74.08125321
101.9787753,82.24554436,80.85064861
106.2819786,88.03938219,105.7415389
103.5227303,104.5274236,104.7106618
96.30453152,122.7581484,115.438033
96.63761216,92.37067246,81.16918894
95.46766021,97.3694133,85.29227115
93.85939484,98.58934826,91.01749557
83.38534379,102.0001655,94.32016304
86.05956669,91.24495433,84.37329002
134.7322871,96.13439592,104.2077864
103.0103542,86.30653378,71.28396262
104.5617529,107.0930898,104.9303024
129.2724104,91.97327118,94.078353
111.5659099,90.21124454,93.80035529
101.2276933,108.920604,105.2826147
110.0075022,100.5577921,96.73516031
75.24714582,101.6936325,89.75306422
129.0520119,107.1781957,118.9090255
111.7419861,95.05150477,126.4159061
112.225582,127.1934195,122.5795678
101.4563749,92.46209317,99.92372822
115.6294335,104.7530605,95.97705646
93.34858808,104.2511224,108.754928
88.72363785,93.25127119,75.68287477
103.3533979,105.3724018,111.062994
96.1226741,90.93677597,93.27004311
103.7048354,110.619673,121.7367257
125.2151985,111.0629134,108.3979571
112.9290495,104.5186323,82.69765983
115.0690692,63.64595897,66.69330875
112.1861726,96.46380089,101.8326085
122.7360928,117.2456794,130.2726151
119.3855208,81.38085568,94.87439975
118.6653982,100.4044044,95.91386826
131.7596526,99.9147432,118.8272352
85.31603635,114.9686151,106.1990666
103.3515575,98.34931244,90.09985634
93.52516539,79.95751636,82.69797365
109.1812211,108.9267547,103.7277893
117.6689202,116.759566,116.2296199
105.4223327,92.66741135,94.56611912
100.5759604,123.0501602,110.0912861
119.9658871,99.01426456,95.61137242
116.5194465,103.7018836,109.1479575
117.7046387,119.1615396,111.0456038
82.88888307,78.57961391,83.3936994
85.93660502,101.9699585,94.93208637
91.23736996,118.2652765,106.5914776
98.18140749,91.77702549,95.19722954
81.86382574,126.0655019,117.3089715
104.3487551,91.43765625,86.54167496
99.30913358,109.6963629,103.1315049
73.4788417,115.6448066,110.9202831
101.2806484,88.88160803,93.98884225
99.46889321,94.93370309,91.36477401
103.0446819,103.3434604,94.62723878
108.4424209,90.54679523,88.68654752
95.28761592,116.7720144,109.4428776
91.19953676,123.0306206,95.61462589
106.5793254,101.7055934,98.32974465
91.1682228,87.43979313,92.60275408
127.3673135,91.22660613,89.35446654
85.88390205,119.3446439,97.7616416
92.84292821,116.9553523,115.9488888
128.1465451,115.5733951,119.0038945
107.2630352,110.3220094,113.4575145
105.2133356,107.1303049,128.3563373
100.7590675,112.8921766,97.19710937
92.82013878,93.28427686,93.24832246
100.6638038,85.71295091,81.11374817
96.41316178,107.0025903,75.03601635
120.1851445,120.4151606,104.695341
113.0634105,109.0412228,109.4931143
105.4682009,111.3767806,103.8925592
97.67610477,99.66501951,96.56559089
118.5287389,107.2411825,113.7244985
84.14565996,107.8508575,81.06229793
83.35661299,96.18274628,88.33579982
97.57413393,97.13652989,93.54413075
97.2355836,114.5177895,105.8776705
113.7345426,97.04224304,96.80850645
113.0561223,110.3786911,114.7753781
85.50341542,116.9928071,98.42709426
91.68185124,82.57739473,90.69498793
89.41066841,79.83220711,79.08021507
90.85390809,87.74779489,90.42985883
88.20662761,104.5183405,105.9017058
98.40166003,85.86277742,84.04825048
101.5224601,101.5746059,92.70180457
121.7430584,83.32708225,98.66401088
119.8540933,96.90933638,104.210179
95.63958206,92.89910644,95.81520511
107.8954413,114.5001191,96.36829597
107.6408478,93.82383829,90.92127144
102.3549606,97.62861119,92.45016198
116.0627538,88.82151027,91.4029946
116.9496595,77.82808892,89.26756081
102.7826206,99.37221744,94.53352937
89.68522278,97.55017669,105.7693912
97.54095304,118.2248353,103.6589366
101.7853891,65.57045975,77.76829395
88.66904373,69.14405464,59.87610525
112.518426,87.28380395,91.67962029
88.3105594,111.3859457,107.2127567
109.9548121,71.22383518,83.155881
106.6745856,104.2145051,109.2100491
99.02752307,109.6497247,97.60552807
106.3310653,124.8809165,124.6686776
100.9526959,84.63796526,82.51962531
103.1779125,91.51562655,86.02648676
99.243555,102.7236784,96.87010368
95.29215287,100.4632974,106.5298735
113.1312358,105.8236121,103.2102991
98.83149959,113.2690659,108.2674563
96.82834314,106.0740755,98.57863947
101.9382463,105.136682,106.1139868
103.4660352,100.2385828,81.35212473
85.79137279,70.72906787,67.73857828
114.5534997,95.81700037,104.2093089
98.3464954,95.23335336,82.98077945
125.6749685,91.73434946,105.5371413
94.79781896,81.08791371,83.00741731
107.041702,101.5973682,101.0415158
91.55118443,102.059278,92.23579509
91.09563743,77.8967282,74.147136
103.6782182,105.4666082,108.2459379
116.2121277,121.4543051,128.1286699
99.19793144,92.40972689,102.9916081
114.5911795,111.3636881,102.6495832
111.5902677,97.05918072,91.1889652
94.93908495,88.06735945,84.94358756
132.7538319,84.95553223,109.1842722
110.056779,101.670217,95.20126988
100.0007992,120.5053557,115.0904478
105.6241857,87.61855643,104.0489289
120.6595702,119.350968,108.8167833
114.9894136,97.82172314,98.48738413
107.8101487,106.8066828,112.7690733
89.44168445,104.4619024,89.22418828
128.931535,103.0513201,93.12396325
93.26479594,103.480723,104.462851
135.5744665,90.03972974,105.498272
103.0928949,97.46664753,88.37541623
75.13865216,96.50643149,90.41785503
112.2937538,111.0789704,117.773112
111.210193,113.5633566,118.3659916
111.8774478,90.7495148,90.33341359
123.4611744,98.55887465,102.9821297
96.00150469,94.15764751,90.26668628
85.17245252,84.23765773,81.9098801
115.2354656,82.0460992,89.56967104
90.21767033,116.3376622,109.9509298
115.8554456,112.0833147,113.6233042
95.23078363,113.704242,97.43695367
91.06433768,96.93013838,96.03884428
90.37355954,103.2177888,106.5922555
118.8401017,101.0848193,91.57440934
105.4230966,106.8542605,106.4574901
93.51118292,103.2956797,95.54385754
121.3052813,108.184514,101.7980315
112.5024306,126.6425146,115.4856234
103.1021277,77.57763412,96.2343579
104.3918514,79.60394146,82.88434571
105.1407372,116.2409322,104.2303415
111.9525539,94.26205412,98.68783464
108.9080048,108.8892126,113.0562902
115.7621433,104.8526953,113.4653543
111.3509846,99.23846707,103.6626155
115.9700783,99.80545012,113.786473
128.8573284,126.8003692,133.80004
81.34965305,109.7642244,100.0788008
112.1782749,99.82583431,89.50164024
96.79630387,129.4791574,126.087638
94.69649922,94.83768077,93.71726177
101.0187238,111.345376,96.49497128
112.5465279,95.79774083,99.02979404
88.78760813,107.7501839,103.9662122
94.83184238,117.1781832,93.7705689
91.88703065,83.8423458,80.4676372
91.07154296,96.86659994,93.7203007
107.8596343,103.1469824,84.37807909
98.40439626,97.32926925,104.0554414
100.6721469,103.8335651,96.13212517
100.4059119,73.59705813,74.07531375
114.4932903,100.011377,99.99842008
88.14576814,107.7556924,96.06567142
95.37976628,106.2690103,105.1136201
109.3484745,114.7029066,104.0015966
98.08732507,114.4377782,105.6385363
89.03165397,94.052257,88.29624148
112.8951364,96.30503058,102.3469078
113.6645462,104.9569713,97.98017519
95.85877066,99.79236946,95.80789397
115.1929625,104.7741944,111.6468366
123.9594489,100.9918706,98.69588352
104.3893839,105.7571492,104.9007906
113.5012019,124.1584943,108.8128873
84.45432769,121.710519,112.7781911
99.54925449,114.2925032,99.9623177
105.6974491,101.0411966,104.8484092
104.2279373,99.81953809,96.6499802
123.2691838,119.4223024,125.4555831
96.40758518,87.30409088,87.25163636
81.0371172,100.5022504,99.31628495
108.6711877,96.10749797,89.61144358
91.19736654,81.64930933,79.15200334
109.339773,91.70344907,92.95408254
110.4343684,91.68401635,83.46389164
116.4377627,95.94930884,107.3760818
111.3016399,91.2367487,92.43000984
86.06784623,90.81391113,94.50451511
115.8191893,115.8480143,113.2621523
90.50229674,103.2337875,105.5217599
117.5750379,82.97400658,89.40543754
108.3451794,119.4715381,115.1499956
89.86309412,66.07408438,73.71559965
112.7971228,96.10574782,105.0610265
110.6762201,119.6079702,102.6124858
92.82153252,112.1781907,99.84770555
86.28000902,104.7841672,98.25587736
88.18041928,117.5481214,103.129557
84.34328267,98.45010627,94.56978639
108.8802425,106.9860745,106.7857591
104.505615,107.1106773,109.2575536
114.3773772,109.0512871,111.3926316
77.7327502,106.2086064,94.3817743
97.58624387,84.92424294,79.04760187
110.0174125,127.9954909,112.918255
100.2711025,111.996347,110.6730899
106.4258243,102.0958279,104.1292693
111.3713442,110.5615873,96.54006168
109.6800833,88.87183023,99.69868856
112.9875071,138.389975,122.3274397
102.7876342,109.7422869,110.5503701
119.9445152,80.96009087,104.5678884
125.1718757,95.08035186,104.5441112
104.3780766,78.35536864,77.13464406
98.8483515,86.13760127,91.76874356
91.2148706,109.3385961,105.8848768
112.1531823,71.30841446,92.80855724
111.8425018,111.397548,102.5041381
89.34037281,94.88036665,92.30127896
115.7756773,132.5955223,129.194009
113.650251,128.5075517,124.7441745
85.94835338,102.0508109,86.50822382
79.82769154,100.1608152,87.98162549
89.19184017,77.42536607,74.1885233
84.49482835,110.3645258,97.50451369
105.6137105,113.1775016,118.568035
108.3755841,107.6876194,102.8299528
115.3939496,99.25349491,115.6079562
113.2087009,99.05141698,99.4718689
105.7288225,98.27323131,90.84596088
110.8501349,126.8759374,125.8906179
116.9814943,65.79636218,71.73590012
109.8910023,91.15479339,102.4603981
98.27803628,112.7547612,100.954531
131.4339308,124.0657976,131.3094892
94.18255983,112.3601035,97.9598811
117.455629,94.18950334,109.5241018
104.4310267,99.27045359,91.48933347
115.4610937,98.65078075,103.6702836
90.24590343,93.07033819,86.59069102
86.49602793,94.5844424,97.19257358
92.99257436,101.1746574,98.62407944
95.0690125,97.87214515,90.41611602
83.6334783,110.0676205,101.0428512
107.3368454,86.20656806,90.58711898
102.8791887,91.33942342,102.7421677
106.5901751,89.9044996,77.53943939
64.2985735,109.7176875,77.32675803
104.2541467,95.87112716,91.2565118
107.8334008,96.53037008,95.70615282
90.42322162,102.6754455,96.13786272
99.88509637,99.63718934,93.28230539
98.37456534,85.92730142,89.52682074
80.80470006,106.3547324,88.4617264
96.82492754,106.4983246,112.67248
113.6484132,96.64901373,106.1436791
118.4362171,96.72574453,98.92838296
75.19101741,119.8106621,96.53244142
121.5595406,102.1829012,114.6149341
107.5339035,109.8811077,106.0128492
107.4849248,118.7567288,120.2353318
106.3081442,102.7709827,113.981196
109.8621211,105.9520521,102.6242901
107.2693969,106.3073694,104.1690866
107.113686,93.57361701,98.36476347
123.0299087,90.09948639,92.0805225
109.4017589,119.0145651,117.3861418
106.0136706,92.96889501,96.99947707
107.2893798,72.81690816,85.28550639
112.1435446,90.36007144,95.8525713
119.1603489,106.8549256,108.6347451
95.20478247,100.3053272,103.2856093
120.3590412,129.4382123,120.9673768
91.39709215,96.33908109,86.34209688
116.4150421,112.135258,115.2675483
120.2073111,97.39971718,117.4338212
125.4118255,81.80860437,89.23259148
84.48945711,100.8831318,88.4147319
109.4132023,100.2039561,104.2825258
120.9380491,103.4485653,115.3971624
93.68808997,87.63158288,78.89305257
100.2542557,93.12545292,89.34842468
104.6951748,114.5595796,104.8337888
93.04910986,109.0413367,99.8379815
121.0900049,107.5857036,127.9666968
116.749082,87.18037858,88.92299896
103.3236138,92.94815778,84.31438629
108.3940511,104.7921466,105.2521305
102.0759706,107.7995309,94.32878478
116.6182762,106.1143482,110.4294567
84.98509947,118.1068456,104.7482123
108.6797413,105.397921,88.19320444
111.7573172,93.36918299,100.2505021
104.9238315,93.39318878,95.08228682
109.0222798,95.55127253,104.5853334
107.9170175,99.38897861,101.2702714
122.7613062,111.4366516,121.5061301
110.5298582,114.7754849,105.4686751
100.6868197,94.02316553,101.0832664
97.72250609,120.9489386,122.0401555
87.57838718,104.6250305,104.1007466
107.9934014,104.1132492,101.9521828
95.61697301,124.5054068,121.7412172
92.17297267,108.049663,97.60714577
112.7081072,114.0812567,117.3305187
108.7092353,96.110329,88.54492252
94.29369491,97.69277053,98.10749419
106.9726816,79.96014094,84.63975709
97.99176694,79.4455127,74.38999999
108.3657425,104.0590828,100.7685647
103.1928195,117.9781185,107.5700418
67.45977769,100.7542838,87.24739587
84.29498252,108.8763602,98.28371518
106.6647038,84.63224368,98.71756153
118.1916037,88.19010332,95.28643593
109.5228795,112.968296,105.1470171
107.5184964,98.00404523,103.7371433
104.8371673,123.9884737,112.4482426
100.1406332,102.7661032,96.19731587
130.2323296,110.6242585,123.8159153
105.7816976,78.93262424,86.51588707
103.5680571,107.3714368,93.45578067
100.7843429,113.183148,110.9642268
99.75996794,95.78438791,99.11584196
102.4776854,99.90482723,93.6262772
97.86721116,102.1763189,94.89180071
108.201574,99.80592289,88.07541892
95.30564681,99.29534715,105.8685204
107.5167117,102.0232823,91.78420362
98.95784276,95.7297948,97.74762845
98.64062545,109.8389962,104.6474794
91.26963238,112.9410626,99.62186753
127.0574448,112.6633487,126.0860155
89.4328585,91.75119477,84.76590873
125.0918317,100.5223191,97.68256304
116.0760045,107.5118042,105.7360543
122.8878665,89.12230122,101.90395
82.27729139,105.5295155,95.70769501
119.9290895,94.88322489,115.8556415
116.5228665,132.5848857,127.5939651
98.24535736,128.5256854,133.7807997
114.1517113,87.75394783,89.23427728
109.3337664,103.1610313,112.5648752
104.5417789,114.501004,121.2050115
104.0132899,82.85847333,77.32525559
105.2591149,118.2445377,111.0110393
118.2450381,115.9283818,113.4522162
87.2611712,118.2382906,110.3241266
97.65041633,98.54592613,101.5806981
92.21171384,106.4243566,97.06857101
98.87836594,89.53829176,75.99686712
89.96225517,105.9906971,107.9654861
97.79777369,119.2030088,110.8991819
105.8898765,113.757698,117.3365241
95.48898334,99.32830253,99.50296503
95.31219174,116.9218389,96.22721157
98.67800167,83.68115472,88.58611875
95.07099624,104.1460016,82.3557309
116.0081342,106.9961362,91.3761235
100.2927604,112.2061232,98.62919935
109.9334693,119.4933296,121.5396092
118.71814,112.3817467,112.1239487
125.8413584,79.42485301,85.13584382
93.61859645,111.8443731,97.05522684
96.30871775,114.0541085,113.2191567
121.2641498,110.2695673,100.1943261
102.5161631,87.60746266,101.7443285
118.5520268,120.249957,119.9966955
87.58733554,86.6823203,82.39156299
102.2615143,117.2319391,107.6811365
113.2686205,124.7805346,108.8572095
111.2676408,113.2420852,108.6201285
113.784742,102.2306808,99.28231723
108.5977205,117.8505893,99.15509023
87.27840491,112.7906488,97.01981066
106.8078138,107.7747925,103.1290401
95.82735201,106.8161164,97.20178776
126.2458968,121.707029,125.855009
78.15057454,124.6838059,107.5095089
117.8549096,99.86020232,106.0755448
105.0902948,79.0381794,100.0236296
92.2423464,101.3615379,91.45629474
99.61800702,82.27646873,85.94508062
90.49572643,87.46111216,72.60481583
106.4253458,96.65864856,95.80525029
122.5892671,93.20380855,96.48832072
118.034337,111.3346286,114.036587
104.8874905,124.2913911,106.9683354
103.9603471,80.76599361,77.8949257
88.67409079,114.4865804,106.1234035
66.12182954,110.3790225,98.79795643
87.29101842,113.4573129,88.22432233
94.34287558,101.4280304,87.84594098
93.73297691,98.89223373,78.51214888
96.94719667,106.3080561,97.68796247
95.76079276,87.16043689,94.24629012
105.8326234,91.0679811,92.25671584
82.08980615,86.03749472,79.47234224
93.14423741,103.632851,100.3701013
108.5362245,100.6859033,92.39937984
77.7459085,119.7599632,106.6661841
120.5579118,108.7150659,113.5389697
101.9834329,94.25596068,101.7117614
108.2840014,91.23571721,82.09319344
114.4561445,106.3026592,104.2345666
94.9452485,65.4465568,63.04653871
99.68656375,89.55070324,96.06570013
107.6246617,95.29904359,96.63245525
97.54419989,80.61469756,83.1067956
101.7292022,97.52278652,84.4795275
110.0253811,115.9760511,115.1121676
102.7093814,86.78947839,89.47763957
111.8407591,112.4121207,97.5771599
109.8632749,95.85773769,83.60951167
97.80533005,132.9178017,120.8292647
95.81359529,102.0828577,92.15569835
108.8114427,126.3344121,124.7297706
117.2674757,103.8948139,116.4010427
91.50892101,85.39732064,83.71192341
130.275622,96.66327609,108.2352295
104.7408307,113.4586878,107.3377527
93.63759726,106.1350917,102.131426
106.9350763,129.0490253,106.9207696
112.098544,115.4204393,114.819628
101.2815276,84.81780506,87.88042403
109.0329773,109.0295418,99.23033525
120.2538793,103.4351452,103.4300262
117.0099466,79.03780177,89.42220003
98.4947493,91.43823543,91.38330446
119.28448,102.3215139,101.5446339
118.7596321,91.81959712,111.2847705
107.0182455,110.144853,106.3892563
106.258788,95.62568764,98.26386111
109.0788842,101.6639697,91.00266163
94.42504848,105.823479,103.6462466
101.2794944,107.6088675,100.4574459
106.0237809,70.88277568,72.77837759
96.36277697,104.7001425,101.6076829
113.9700875,94.59658202,99.04893646
116.9707961,112.6979962,105.8178779
96.96084473,87.71084332,78.43438148
97.54551126,105.2295165,98.28767738
75.88411403,71.20857213,69.78906661
85.02688498,107.3238425,99.47724987
98.47629858,92.3742973,93.46508826
112.7488457,114.3107831,115.2159661
99.02863781,107.4906394,106.6703952
106.0318418,104.3096362,101.5842826
104.0143328,108.7445873,113.0971633
138.3625262,77.09546069,98.6455405
